run,figure,step,agent_name,agent_version,model,pricing_profile,created_at,response_id,dry_run,input_tokens,cache_write_tokens,cached_tokens,uncached_input_tokens,output_tokens,reasoning_tokens,total_tokens,cache_hit_pct,estimated_uncached_input_cost_usd,estimated_cache_write_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_total_cost_usd,source_path
combined_03,discovery,agent00_find_figures:xref:112,agent00-discovery,6,gpt-5.6-sol,openai_standard_short_context_2026-09-24,2026-09-24T22:31:52.873646+00:00,resp_04ff9475ca0fa2a3006ab5a4dec46c81978215c9d5a75c9041,False,6422,6419,0,3,671,307,7093,0.0,0.00001200,0.03209500,0.00000000,0.01342000,0.04552700,combined_03/discovery/agent00_find_figures.json#7
combined_03,discovery,agent00_find_figures:xref:116,agent00-discovery,6,gpt-5.6-sol,openai_standard_short_context_2026-09-24,2026-09-24T22:32:01.050052+00:00,resp_0124563fcd09ac1a006ab5a4e83c548190a20e69bb2f0ae280,False,6223,6220,0,3,525,111,6748,0.0,0.00001200,0.03110000,0.00000000,0.01050000,0.04161200,combined_03/discovery/agent00_find_figures.json#8
combined_03,discovery,agent00_find_figures:xref:117,agent00-discovery,6,gpt-5.6-sol,openai_standard_short_context_2026-09-24,2026-09-24T22:32:11.291160+00:00,resp_09aacd5773335883006ab5a4f0dc088193b83fcadd67ba6a38,False,7123,7120,0,3,624,169,7747,0.0,0.00001200,0.03560000,0.00000000,0.01248000,0.04809200,combined_03/discovery/agent00_find_figures.json#9
combined_03,discovery,agent00_find_figures:xref:121,agent00-discovery,6,gpt-5.6-sol,openai_standard_short_context_2026-09-24,2026-09-24T22:32:20.468802+00:00,resp_067a65bd3e0d0a3f006ab5a4fab06c81948bbe65947c193108,False,6626,6623,0,3,751,155,7377,0.0,0.00001200,0.03311500,0.00000000,0.01502000,0.04814700,combined_03/discovery/agent00_find_figures.json#10
combined_03,discovery,agent00_find_figures:xref:122,agent00-discovery,6,gpt-5.6-sol,openai_standard_short_context_2026-09-24,2026-09-24T22:32:32.676916+00:00,resp_04350b852b3ca667006ab5a503ded48197ae7b0fb3070d3e54,False,6278,6275,0,3,922,400,7200,0.0,0.00001200,0.03137500,0.00000000,0.01844000,0.04982700,combined_03/discovery/agent00_find_figures.json#11
combined_03,discovery,agent00_find_figures:xref:126,agent00-discovery,6,gpt-5.6-sol,openai_standard_short_context_2026-09-24,2026-09-24T22:32:41.655116+00:00,resp_06c9a8a9350b13d7006ab5a5102870819086ca9eee2687d4c6,False,6336,6333,0,3,592,231,6928,0.0,0.00001200,0.03166500,0.00000000,0.01184000,0.04351700,combined_03/discovery/agent00_find_figures.json#12
combined_03,fig3a,agent01_read_chart,agent01-structure,5,gpt-5.6-sol,openai_standard_short_context_2026-09-24,2026-09-24T22:33:06.531558+00:00,resp_09f51f039de9bf63006ab5a519538c819096f065a28618dc72,False,5665,5662,0,3,2107,1328,7772,0.0,0.00001200,0.02831000,0.00000000,0.04214000,0.07046200,combined_03/fig3a/agent01_read_chart.provenance.json
combined_03,fig2a,agent01_read_chart,agent01-structure,5,gpt-5.6-sol,openai_standard_short_context_2026-09-24,2026-09-24T22:35:47.578221+00:00,resp_000044e845507e85006ab5a5ae8b4481949690cffc6b8d1277,False,6612,6609,0,3,4368,1374,10980,0.0,0.00001200,0.03304500,0.00000000,0.08736000,0.12041700,combined_03/fig2a/agent01_read_chart.provenance.json
combined_03,fig3a,agent02_check_extraction_round1,agent02-calibration,4,gpt-5.6-luna,openai_standard_short_context_2026-09-24,2026-09-24T22:33:26.087788+00:00,resp_08a1fe38ce075742006ab5a531dec08190ae72419a3eb5cf62,False,10573,8615,1955,3,2519,958,13092,18.49,0.00000060,0.00215375,0.00003910,0.00302280,0.00521625,combined_03/fig3a/agent02_check_extraction_round1.provenance.json
combined_03,fig3a,agent02_check_extraction_round2,agent02-calibration,4,gpt-5.6-luna,openai_standard_short_context_2026-09-24,2026-09-24T22:33:46.233127+00:00,resp_09cfe5d3a67ee589006ab5a545d55c81909b18bd8eeea97296,False,13240,11282,1955,3,2665,940,15905,14.77,0.00000060,0.00282050,0.00003910,0.00319800,0.00605820,combined_03/fig3a/agent02_check_extraction_round2.provenance.json
